buildings,production_method_groups,production_methods,type,required_construction,ammunition,small_arms,artillery,tanks,aeroplanes,manowars,ironclads,grain,fish,fabric,wood,groceries,clothes,furniture,paper,services,transportation,electricity,merchant_marine,clippers,steamers,silk,dye,sulfur,coal,iron,lead,hardwood,rubber,oil,engines,steel,glass,fertilizer,tools,explosives,porcelain,meat,fruit,liquor,wine,tea,coffee,sugar,tobacco,opium,automobiles,telephones,radios,luxury_clothes,luxury_furniture,gold,fine_art,air_travel,good_uranium,elgar_instruments,elgar_music,manzoni_prints
building_food_industry,pmg_base_building_food_industry,pm_bakery,base,construction_cost_high,,,,,,,,-40,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_food_industry,pmg_base_building_food_industry,pm_sweeteners,base,construction_cost_high,,,,,,,,-40,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,
building_food_industry,pmg_base_building_food_industry,pm_baking_powder,base,construction_cost_high,,,,,,,,-80,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30,,,,,,,,,,,,,,
building_food_industry,pmg_canning,pm_disabled_canning,base,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_food_industry,pmg_canning,pm_cannery,base,construction_cost_high,,,,,,,,20,,,,30,,,,,,,,,,,,,,-10,,,,,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,
building_food_industry,pmg_canning,pm_cannery_fish,base,construction_cost_high,,,,,,,,20,-30,,,30,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_food_industry,pmg_canning,pm_vacuum_canning,base,construction_cost_high,,,,,,,,30,-30,,,60,,,,,,,,,,,,,,-10,,,,-5,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,
building_food_industry,pmg_canning,pm_vacuum_canning_principle_3,base,construction_cost_high,,,,,,,,30,-30,,,70,,,,,,,,,,,,,,-10,,,,-5,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,
building_food_industry,pmg_distillery,pm_disabled_distillery,refining,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_food_industry,pmg_distillery,pm_pot_stills,refining,construction_cost_high,,,,,,,,,,,,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,-25,,,,,,,,,,,,,,
building_food_industry,pmg_distillery,pm_patent_stills,refining,construction_cost_high,,,,,,,,,,,,-40,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,100,,,,-25,,,,,,,,,,,,,,
building_food_industry,pmg_automation_building_food_industry,pm_manual_dough_processing,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_food_industry,pmg_automation_building_food_industry,pm_automated_bakery,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,
building_textile_mill,pmg_base_building_textile_mill,pm_handsewn_clothes,base,construction_cost_high,,,,,,,,,,-40,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,base,construction_cost_high,,,,,,,,,,-40,,,60,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_textile_mill,pmg_base_building_textile_mill,pm_sewing_machines,base,construction_cost_high,,,,,,,,,,-60,,,100,,,,,,,,,,-10,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_textile_mill,pmg_base_building_textile_mill,pm_electric_sewing_machines,base,construction_cost_high,,,,,,,,,,-60,,,140,,,,,-10,,,,,-20,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,
building_textile_mill,pmg_luxury_building_textile_mill,pm_no_luxury_clothes,refining,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_textile_mill,pmg_luxury_building_textile_mill,pm_craftsman_sewing,refining,construction_cost_high,,,,,,,,,,15,,,-30,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,
building_textile_mill,pmg_luxury_building_textile_mill,pm_elastics,refining,construction_cost_high,,,,,,,,,,35,,,-70,,,,,,,,,-35,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,
building_textile_mill,pmg_automation_building_textile_mill,pm_traditional_looms,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_textile_mill,pmg_automation_building_textile_mill,pm_mechanized_looms,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_textile_mill,pmg_automation_building_textile_mill,pm_automatic_power_looms,automation,construction_cost_high,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_furniture_manufactory,pmg_base_building_furniture_manufactory,pm_handcrafted_furniture,base,construction_cost_high,,,,,,,,,,-10,-30,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_furniture_manufactory,pmg_base_building_furniture_manufactory,pm_lathe,base,construction_cost_high,,,,,,,,,,-10,-30,,,65,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
